Table with row headers in column A and column headers in rows 6 through 973. Leading dots indicate subparts.,,,,,,
CBSA Report Chapter 2 Data,,,,,,
,,,,,,
"CBSA
Code",Geographic area,Legal/statistical area description,Population,,"Change, 2000 to 2010",
,,,2010 Census,Census 2000,Number,Percent
29300,"LaGrange, GA",Micropolitan Statistical Area,"67,044","58,779","8,265",14.1
29380,"Lake City, FL",Micropolitan Statistical Area,"67,531","56,513","11,018",19.5
29500,"Lamesa, TX",Micropolitan Statistical Area,"13,833","14,985","-1,152",-7.7
29580,"Lancaster, SC",Micropolitan Statistical Area,"76,652","61,351","15,301",24.9
29660,"Laramie, WY",Micropolitan Statistical Area,"36,299","32,014","4,285",13.4
29780,"Las Vegas, NM",Micropolitan Statistical Area,"29,393","30,126",-733,-2.4
29860,"Laurel, MS",Micropolitan Statistical Area,"84,823","83,107","1,716",2.1
29900,"Laurinburg, NC",Micropolitan Statistical Area,"36,157","35,998",159,0.4
29980,"Lawrenceburg, TN",Micropolitan Statistical Area,"41,869","39,926","1,943",4.9
30060,"Lebanon, MO",Micropolitan Statistical Area,"35,571","32,513","3,058",9.4
30100,"Lebanon, NH-VT",Micropolitan Statistical Area,"174,724","167,387","7,337",4.4
30220,"Levelland, TX",Micropolitan Statistical Area,"22,935","22,716",219,1.0
30260,"Lewisburg, PA",Micropolitan Statistical Area,"44,947","41,624","3,323",8.0
30280,"Lewisburg, TN",Micropolitan Statistical Area,"30,617","26,767","3,850",14.4
30380,"Lewistown, PA",Micropolitan Statistical Area,"46,682","46,486",196,0.4
30420,"Lexington, NE",Micropolitan Statistical Area,"26,370","26,508",-138,-0.5
30500,"Lexington Park, MD",Micropolitan Statistical Area,"105,151","86,211","18,940",22.0
30580,"Liberal, KS",Micropolitan Statistical Area,"22,952","22,510",442,2.0
