Table with row headers in column A and column headers in rows 4 through 974. Leading dots indicate subparts.,,,,,,,,,,
CBSA Report Chapter 3 Data,,,,,,,,,,
,,,,,,,,,,
"CBSA
Code",Geographic area,Legal/statistical area description,Population,,"Land area in
square miles, 2010",Population density1,,,,
,,,,,,Overall,,Population weighted,,
,,,2000,2010,,2000,2010,2000,2010,"Change, 2000 to 2010"
41980,"San Juan-Caguas-Guaynabo, PR",Metropolitan Statistical Area,"2,509,007","2,478,905","1,589.9","1,578.1","1,559.1","6,834.7","5,887.5",-947.2
49500,"Yauco, PR",Metropolitan Statistical Area,"118,063","107,333",192.1,614.5,558.6,"2,313.0","1,928.9",-384.2
,,,,,,,,,,
,…...In micropolitan statistical area,,"162,172","164,138",406.2,399.3,404.1,"2,059.7","1,672.8",-386.9
10260,"Adjuntas, PR",Micropolitan Statistical Area,"19,143","19,483",66.7,287.0,292.1,"1,168.7",954.2,-214.5
17620,"Coamo, PR",Micropolitan Statistical Area,"68,710","71,590",147.4,466.2,485.8,"2,513.2","1,939.8",-573.4
27580,"Jayuya, PR",Micropolitan Statistical Area,"17,318","16,642",44.5,388.9,373.7,"1,150.3","1,018.5",-131.8
42180,"Santa Isabel, PR",Micropolitan Statistical Area,"21,665","23,274",34.0,636.8,684.1,"1,798.2","1,506.2",-292.0
46580,"Utuado, PR",Micropolitan Statistical Area,"35,336","33,149",113.5,311.2,292.0,"1,419.4","1,135.1",-284.3
,...Outside core based statistical area,,"28,484","27,276",145.4,195.9,187.6,240.0,227.8,-12.2
Footnote:,,,,,,,,,,
1 Overall population density expressed as average number of people per square mile. Population-weighted density is an average density of all census tracts in each area. 2000 population density values are calculated using 2010 land area data.,,,,,,,,,,
,,,,,,,,,,
Note: Core based statistical areas (metropolitan and micropolitan statistical areas) defined,,,,,,,,,,
"by the Office of Management and Budget as of December 2009. Broomfield County, CO, was formed from parts of Adams, Boulder, Jefferson, ",,,,,,,,,,
"and Weld Counties, CO, on November 15, 2001, and was coextensive with Broomfield city. For purposes of presenting data for metropolitan",,,,,,,,,,
"and micropolitan statistical areas, Broomfield is treated as if it were a county at the time of Census 2000.",,,,,,,,,,
,,,,,,,,,,
"Source: U.S. Census Bureau, 2010 Census and Census 2000.",,,,,,,,,,
,,,,,,,,,,
"Internet Release Date: September, 2012.",,,,,,,,,,
,,,,,,,,,,
